Date,COPEL,SANEPAR,VIVO,GRENDENE,BRADESCO,PRIO,WEGE,BOVA
2015-01-02,3.378000020980835,1.916666030883789,37.81999969482422,4.966666221618652,13.445454597473145,0.4399999976158142,5.923076152801514,47.2599983215332
2015-01-05,3.305000066757202,1.7833329439163208,37.06999969482422,4.883333206176758,13.465055465698242,0.40700000524520874,5.963460922241211,46.31999969482422
2015-01-06,3.305000066757202,1.7833329439163208,36.150001525878906,4.783332824707031,13.90800952911377,0.367000013589859,5.875,46.58000183105469
2015-01-07,3.4779999256134033,1.8333330154418945,37.38999938964844,5.159999847412109,14.460723876953125,0.3659999966621399,5.807692050933838,48.150001525878906
2015-01-08,3.446000099182129,1.899999976158142,38.90999984741211,5.133333206176758,14.535202980041504,0.3779999911785126,5.905768871307373,48.5099983215332
2015-01-09,3.2980000972747803,1.8666659593582153,38.290000915527344,5.056665897369385,13.90408992767334,0.43799999356269836,5.878846168518066,47.529998779296875
2015-01-12,3.197000026702881,1.8333330154418945,38.349998474121094,5.016665935516357,13.657133102416992,0.3790000081062317,5.8461527824401855,46.83000183105469
2015-01-13,3.247999906539917,1.8666659593582153,39.369998931884766,5.166666030883789,13.700251579284668,0.37299999594688416,5.867307186126709,46.63999938964844
2015-01-14,3.2699999809265137,1.8766659498214722,39.810001373291016,5.093332767486572,13.845291137695312,0.3449999988079071,5.961537837982178,46.47999954223633
2015-01-15,3.315000057220459,1.899999976158142,40.5,5.099999904632568,13.704172134399414,0.34599998593330383,5.961537837982178,47.0
2015-01-16,3.3949999809265137,1.8833329677581787,41.29999923706055,5.116665840148926,13.837450981140137,0.3179999887943268,5.961537837982178,47.599998474121094
2015-01-19,3.190000057220459,1.899999976158142,41.0,5.0,13.54737377166748,0.28600001335144043,5.992307186126709,46.310001373291016
2015-01-20,3.1740000247955322,1.8666659593582153,41.9900016784668,5.073332786560059,13.504254341125488,0.32600000500679016,6.067306995391846,46.52000045776367
2015-01-21,3.2290000915527344,1.7999999523162842,43.29999923706055,4.996665954589844,13.833531379699707,0.4429999887943268,6.001923084259033,47.810001373291016
2015-01-22,3.246999979019165,1.7833329439163208,42.900001525878906,5.00333309173584,13.986409187316895,0.6290000081062317,6.051922798156738,48.119998931884766
2015-01-23,3.1710000038146973,1.7333329916000366,42.97999954223633,5.063333034515381,13.864890098571777,0.628000020980835,6.12307596206665,47.29999923706055
2015-01-26,3.1549999713897705,1.72666597366333,41.970001220703125,4.853332996368408,14.08832836151123,0.5740000009536743,6.050000190734863,47.189998626708984
2015-01-27,3.2209999561309814,1.8333330154418945,41.400001525878906,4.849999904632568,14.111847877502441,0.4410000145435333,6.151923179626465,47.34000015258789
2015-01-28,3.197999954223633,1.8333330154418945,42.34000015258789,4.699999809265137,13.817851066589355,0.4300000071525574,6.211537837982178,46.33000183105469
2015-01-29,3.2920000553131104,1.7966660261154175,41.7599983215332,4.703332901000977,13.629693031311035,0.40400001406669617,6.351922988891602,46.380001068115234
2015-01-30,3.130000114440918,1.666666030883789,41.0,4.6433329582214355,13.222017288208008,0.38999998569488525,6.169229984283447,45.61000061035156
2015-02-02,3.302000045776367,1.7966660261154175,41.47999954223633,4.633333206176758,13.35921573638916,0.4819999933242798,6.334615230560303,46.27000045776367
2015-02-03,3.302999973297119,1.7833329439163208,42.470001220703125,4.6366658210754395,13.845291137695312,0.49900001287460327,6.2846150398254395,47.63999938964844
2015-02-04,3.203000068664551,1.7833329439163208,42.79999923706055,4.639999866485596,14.194167137145996,0.5,6.3153839111328125,47.77000045776367
2015-02-05,3.1419999599456787,1.7166659832000732,43.4900016784668,4.599999904632568,13.966809272766113,0.5019999742507935,6.298076152801514,47.880001068115234
2015-02-06,3.122999906539917,1.713333010673523,42.529998779296875,4.616665840148926,14.025609016418457,0.4779999852180481,6.2846150398254395,47.29999923706055
2015-02-09,3.2039999961853027,1.6299999952316284,41.5,4.776666164398193,14.170646667480469,0.4909999966621399,6.294229984283447,47.91999816894531
2015-02-10,3.0910000801086426,1.6333329677581787,42.54999923706055,4.800000190734863,13.813931465148926,0.4860000014305115,6.459615230560303,47.15999984741211
2015-02-11,3.125,1.6033329963684082,40.959999084472656,4.616665840148926,13.441534996032715,0.4790000021457672,6.413461208343506,46.95000076293945
2015-02-12,3.187999963760376,1.6833330392837524,43.0,4.633333206176758,13.974649429321289,0.49000000953674316,6.340384006500244,48.130001068115234
2015-02-13,3.3359999656677246,1.7000000476837158,43.88999938964844,5.099999904632568,14.347044944763184,0.5429999828338623,6.238461017608643,49.38999938964844
2015-02-18,3.253000020980835,1.7966660261154175,44.5,5.190000057220459,14.503844261169434,0.5550000071525574,6.230769157409668,49.90999984741211
2015-02-19,3.2149999141693115,1.7966660261154175,43.7400016784668,5.25,14.47248363494873,0.5529999732971191,6.3461527824401855,49.79999923706055
2015-02-20,3.1760001182556152,1.7833329439163208,43.5,5.110000133514404,14.507762908935547,0.5600000023841858,6.25,49.84000015258789
2015-02-23,3.2109999656677246,1.766666054725647,43.18000030517578,5.113333225250244,14.648881912231445,0.5569999814033508,6.2211527824401855,49.79999923706055
2015-02-24,3.193000078201294,1.766666054725647,43.70000076293945,5.233333110809326,14.809599876403809,0.5600000023841858,6.25,50.40999984741211
2015-02-25,3.257999897003174,1.75,43.209999084472656,5.383333206176758,14.891919136047363,0.5410000085830688,6.0961527824401855,50.36000061035156
2015-02-26,3.38100004196167,1.7999999523162842,41.810001373291016,5.539999961853027,14.92327880859375,0.5450000166893005,6.071153163909912,50.310001373291016
